Action,Owner,Admin,Finance,Manager Outlet,Supervisor,Kasir,Dapur,Inventory Staff
View all dashboard,yes,yes,yes,no,no,no,no,no
View outlet dashboard,yes,yes,yes,yes,yes,no,no,yes
Manage outlet,yes,yes,no,no,no,no,no,no
Manage user role,yes,yes,no,no,no,no,no,no
Manage menu,yes,yes,no,no,no,no,no,no
Manage recipe,yes,yes,no,no,no,no,no,no
Manage promo,yes,yes,no,no,no,no,no,no
Open close shift,yes,no,no,yes,yes,yes,no,no
Create POS order,yes,no,no,yes,yes,yes,no,no
Process kitchen order,yes,no,no,yes,yes,no,yes,no
Void refund request,yes,no,no,yes,yes,yes,no,no
Void refund approve,yes,no,yes,yes,yes,no,no,no
Stock opname input,yes,yes,no,yes,yes,no,no,yes
Stock adjustment approve,yes,yes,no,yes,no,no,no,no
Waste input,yes,yes,no,yes,yes,yes,yes,yes
Purchasing manage,yes,yes,yes,no,no,no,no,yes
Receiving goods,yes,yes,no,yes,yes,no,no,yes
Finance report,yes,no,yes,limited,no,no,no,no
Audit log view,yes,yes,limited,limited,no,no,no,no
