ID,Epic,Story,Priority,Portal
AUTH-001,Auth,Sebagai user saya bisa login sesuai tipe akun,P0,All
OUTLET-001,Multi Outlet,Sebagai owner saya bisa membuat dan mengelola outlet,P0,Owner
MENU-001,Menu,Sebagai admin saya bisa membuat kategori dan menu,P0,Owner
POS-001,POS,Sebagai kasir saya bisa membuka shift,P0,Karyawan
POS-002,POS,Sebagai kasir saya bisa membuat order dari menu grid,P0,Karyawan
KIT-001,Kitchen,Sebagai staff dapur saya melihat order realtime,P0,Karyawan
CUST-001,Customer,Sebagai customer saya bisa melihat menu outlet,P0,Customer
CUST-004,Customer,Sebagai customer saya bisa checkout order,P0,Customer
PAY-001,Payment,Sebagai kasir saya bisa menerima cash QRIS debit e-wallet,P0,Karyawan
SHIFT-001,Shift,Sebagai kasir saya bisa closing shift dan melihat selisih kas,P0,Karyawan
BOM-001,Recipe,Sebagai admin saya bisa membuat recipe per menu,P0,Owner
INV-001,Inventory,Sebagai admin saya bisa mengelola item bahan baku,P0,Owner
INV-003,Inventory,Sistem mencatat semua perubahan stok sebagai movement ledger,P0,Backend
INV-DED-001,Inventory,Sistem mengurangi stok otomatis berdasarkan recipe saat order selesai,P0,Backend
REP-001,Reports,Sebagai owner saya bisa melihat dashboard sales multi-outlet,P0,Owner
WASTE-001,Waste,Sebagai staff saya bisa mencatat waste bahan/menu,P0,Karyawan
STOCK-001,Stock Opname,Sebagai staff saya bisa input stock opname outlet,P0,Karyawan
PUR-001,Purchasing,Sebagai admin saya bisa mengelola supplier,P0,Owner
PUR-003,Purchasing,Sebagai admin saya bisa membuat purchase order,P1,Owner
TRF-001,Transfer,Sebagai manager saya bisa request transfer stock antar outlet,P1,Owner/Karyawan
CRM-001,CRM,Sebagai admin saya bisa melihat data dan histori customer,P1,Owner
LOY-001,Loyalty,Sebagai customer saya bisa mendapatkan dan memakai poin,P1,Customer
FIN-005,Finance,Sebagai finance saya bisa melihat P&L per outlet,P1,Owner
PROD-001,Production,Sebagai admin saya bisa membuat production order central kitchen,P2,Owner
QC-001,QC,Sebagai admin saya bisa mencatat quality inspection,P2,Owner
AUD-001,Audit,Sistem mencatat audit untuk action kritikal,P0,Backend
APP-001,Approval,Sistem mendukung approval workflow berdasarkan threshold,P1,Owner/Backend
